Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.decode_runs.100,1363888762,95287828,4767067,49346,15728640
All.decode_runs.1_000,14402697850,1158731766,49954986,1743038,20971520
All.decode_runs.10_000,159338842800,4889710916,532015864,35078048,33554432
All.decode_runs_error.100,1260170075,87939634,4390256,47503,33554432
All.decode_runs_error.1_000,12670162950,994960136,42227056,1691072,33554432
All.decode_runs_error.10_000,127164480800,4670929552,421299896,21697789,33554432
All.strip_comments.100.bytestring,69362,2032,40,0,33554432
All.strip_comments.100.megaparsec_auto,7281763,656002,4402,1,33554432
All.strip_comments.100.megaparsec_manual,7221561,662542,3682,1,33554432
All.strip_comments.1_000.bytestring,1082891,82962,40,0,33554432
All.strip_comments.1_000.megaparsec_auto,68367876,5624952,4424,4,33554432
All.strip_comments.1_000.megaparsec_manual,68335814,5481366,3701,2,33554432
All.strip_comments.10_000.bytestring,18009113,1427782,45,0,33554432
All.strip_comments.10_000.megaparsec_auto,681141446,44493196,4574,19,33554432
All.strip_comments.10_000.megaparsec_manual,678858525,43932460,3854,18,33554432
